/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run TRPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — TRPO Training
 URL         : http://localhost:8888/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_union_less1.csv
               (union=108, error=0)
 Timesteps   : 150000
 Target KL   : 0.01
 Seed        : 3
============================================================
  Ep 2130 | SR=0% | Steps=15.0 | R=-15.22
  Ep 2140 | SR=0% | Steps=15.0 | R=-17.57
  Ep 2150 | SR=0% | Steps=15.0 | R=-2.74
  Ep 2160 | SR=0% | Steps=15.0 | R=-13.92
  Ep 2170 | SR=0% | Steps=15.0 | R=-12.79
  Ep 2180 | SR=0% | Steps=15.0 | R=-17.65
  Ep 2190 | SR=0% | Steps=15.0 | R=-8.31
  Ep 2200 | SR=0% | Steps=15.0 | R=-11.04
  Ep 2210 | SR=0% | Steps=15.0 | R=-20.96
  Ep 2220 | SR=0% | Steps=15.0 | R=-13.13
  Ep 2230 | SR=0% | Steps=15.0 | R=-17.29
  Ep 2240 | SR=0% | Steps=15.0 | R=-14.36
  Ep 2250 | SR=0% | Steps=15.0 | R=-13.67
  Ep 2260 | SR=0% | Steps=15.0 | R=-17.59
  Ep 2270 | SR=0% | Steps=15.0 | R=-9.62
  Ep 2280 | SR=0% | Steps=15.0 | R=-6.09
  Ep 2290 | SR=0% | Steps=15.0 | R=-13.03
  Ep 2300 | SR=0% | Steps=15.0 | R=-12.01
  Ep 2310 | SR=0% | Steps=15.0 | R=-1.76
  Ep 2320 | SR=0% | Steps=15.0 | R=-15.91
  Ep 2330 | SR=0% | Steps=15.0 | R=-4.48
  Ep 2340 | SR=0% | Steps=15.0 | R=-10.36
  Ep 2350 | SR=0% | Steps=15.0 | R=-10.40
  Ep 2360 | SR=0% | Steps=15.0 | R=-15.25
  Ep 2370 | SR=0% | Steps=15.0 | R=-13.89
  Ep 2380 | SR=0% | Steps=15.0 | R=-8.01
  Ep 2390 | SR=0% | Steps=15.0 | R=-17.68
  Ep 2400 | SR=0% | Steps=15.0 | R=-8.20
  Ep 2410 | SR=0% | Steps=15.0 | R=-15.29
  Ep 2420 | SR=0% | Steps=15.0 | R=-6.59
  Ep 2430 | SR=0% | Steps=15.0 | R=-16.89
  Ep 2440 | SR=0% | Steps=15.0 | R=-15.61
  Ep 2450 | SR=0% | Steps=15.0 | R=-19.04
  Ep 2460 | SR=0% | Steps=15.0 | R=-22.04
  Ep 2470 | SR=0% | Steps=15.0 | R=-15.75
  Ep 2480 | SR=0% | Steps=15.0 | R=-21.68
  Ep 2490 | SR=0% | Steps=15.0 | R=-17.91
  Ep 2500 | SR=0% | Steps=15.0 | R=-12.75
  Ep 2510 | SR=0% | Steps=15.0 | R=-5.43
  Ep 2520 | SR=0% | Steps=15.0 | R=-6.93
  Ep 2530 | SR=0% | Steps=15.0 | R=-16.57
