/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run A2C on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — A2C Training
 URL         : http://localhost:8888/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_union_less1.csv
               (union=108, error=0)
 Timesteps   : 150000
 Rollout     : n_steps=5 (synchronous A3C variant)
 Seed        : 3
============================================================
  Ep 1610 | SR=0% | Steps=15.0 | R=-22.01
  Ep 1620 | SR=0% | Steps=15.0 | R=-9.42
  Ep 1630 | SR=0% | Steps=15.0 | R=-21.28
  Ep 1640 | SR=0% | Steps=15.0 | R=-17.81
  Ep 1650 | SR=0% | Steps=15.0 | R=-8.86
  Ep 1660 | SR=0% | Steps=15.0 | R=-10.21
  Ep 1670 | SR=0% | Steps=15.0 | R=-12.70
  Ep 1680 | SR=0% | Steps=15.0 | R=-16.76
  Ep 1690 | SR=0% | Steps=15.0 | R=-20.45
  Ep 1700 | SR=0% | Steps=15.0 | R=-19.32
  Ep 1710 | SR=0% | Steps=15.0 | R=-12.08
  Ep 1720 | SR=0% | Steps=15.0 | R=-15.71
  Ep 1730 | SR=0% | Steps=15.0 | R=-24.75
  Ep 1740 | SR=0% | Steps=15.0 | R=-7.75
  Ep 1750 | SR=0% | Steps=15.0 | R=-9.20
  Ep 1760 | SR=0% | Steps=15.0 | R=-17.15
  Ep 1770 | SR=0% | Steps=15.0 | R=-12.99
  Ep 1780 | SR=0% | Steps=15.0 | R=-26.07
  Ep 1790 | SR=0% | Steps=15.0 | R=-16.79
  Ep 1800 | SR=0% | Steps=15.0 | R=-22.35
  Ep 1810 | SR=0% | Steps=15.0 | R=-9.92
  Ep 1820 | SR=0% | Steps=15.0 | R=-13.78
  Ep 1830 | SR=0% | Steps=15.0 | R=-13.22
  Ep 1840 | SR=0% | Steps=15.0 | R=-8.08
  Ep 1850 | SR=0% | Steps=15.0 | R=-15.08
  Ep 1860 | SR=0% | Steps=15.0 | R=-4.66
  Ep 1870 | SR=0% | Steps=15.0 | R=-29.27
  Ep 1880 | SR=0% | Steps=15.0 | R=-20.82
  Ep 1890 | SR=0% | Steps=15.0 | R=-16.83
  Ep 1900 | SR=0% | Steps=15.0 | R=-21.44
  Ep 1910 | SR=0% | Steps=15.0 | R=-12.42
  Ep 1920 | SR=0% | Steps=15.0 | R=-22.67
  Ep 1930 | SR=0% | Steps=15.0 | R=-12.11
  Ep 1940 | SR=0% | Steps=15.0 | R=-24.69
  Ep 1950 | SR=0% | Steps=15.0 | R=-11.61
  Ep 1960 | SR=0% | Steps=15.0 | R=-7.99
  Ep 1970 | SR=0% | Steps=15.0 | R=-22.09
  Ep 1980 | SR=0% | Steps=15.0 | R=-20.26
  Ep 1990 | SR=0% | Steps=15.0 | R=-13.70
  Ep 2000 | SR=0% | Steps=15.0 | R=-13.39
  Ep 2010 | SR=0% | Steps=15.0 | R=-13.76
  Ep 2020 | SR=0% | Steps=15.0 | R=-12.26
  Ep 2030 | SR=0% | Steps=15.0 | R=-13.32
