/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — PPO Training
 URL         : http://localhost:8888/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_union_less1.csv
               (union=108, error=0)
 Timesteps   : 150000
 Seed        : 2
============================================================
  Ep 2450 | SR=0% | Steps=15.0 | R=-28.42
  Ep 2460 | SR=0% | Steps=15.0 | R=-19.84
  Ep 2470 | SR=0% | Steps=15.0 | R=-17.60
  Ep 2480 | SR=0% | Steps=15.0 | R=-10.14
  Ep 2490 | SR=0% | Steps=15.0 | R=-18.73
  Ep 2500 | SR=0% | Steps=15.0 | R=-17.24
  Ep 2510 | SR=0% | Steps=15.0 | R=-16.78
  Ep 2520 | SR=0% | Steps=15.0 | R=-25.35
  Ep 2530 | SR=0% | Steps=15.0 | R=-16.16
  Ep 2540 | SR=0% | Steps=15.0 | R=-15.97
  Ep 2550 | SR=0% | Steps=15.0 | R=-15.91
  Ep 2560 | SR=0% | Steps=15.0 | R=-18.25
  Ep 2570 | SR=0% | Steps=15.0 | R=-19.75
  Ep 2580 | SR=0% | Steps=15.0 | R=-12.14
  Ep 2590 | SR=0% | Steps=15.0 | R=-20.82
  Ep 2600 | SR=0% | Steps=15.0 | R=-8.06
  Ep 2610 | SR=0% | Steps=15.0 | R=-18.36
  Ep 2620 | SR=0% | Steps=15.0 | R=-18.18
  Ep 2630 | SR=0% | Steps=15.0 | R=-17.94
  Ep 2640 | SR=0% | Steps=15.0 | R=-20.16
  Ep 2650 | SR=0% | Steps=15.0 | R=-21.41
  Ep 2660 | SR=0% | Steps=15.0 | R=-12.79
  Ep 2670 | SR=0% | Steps=15.0 | R=-18.49
  Ep 2680 | SR=0% | Steps=15.0 | R=-16.40
  Ep 2690 | SR=0% | Steps=15.0 | R=-6.28
  Ep 2700 | SR=0% | Steps=15.0 | R=-14.13
  Ep 2710 | SR=0% | Steps=15.0 | R=-9.04
  Ep 2720 | SR=0% | Steps=15.0 | R=-23.89
  Ep 2730 | SR=0% | Steps=15.0 | R=-15.00
  Ep 2740 | SR=0% | Steps=15.0 | R=-17.43
  Ep 2750 | SR=0% | Steps=15.0 | R=-21.07
  Ep 2760 | SR=0% | Steps=15.0 | R=-22.04
  Ep 2770 | SR=0% | Steps=15.0 | R=-18.82
  Ep 2780 | SR=0% | Steps=15.0 | R=-10.79
  Ep 2790 | SR=0% | Steps=15.0 | R=-27.27
  Ep 2800 | SR=0% | Steps=15.0 | R=-9.82
  Ep 2810 | SR=0% | Steps=15.0 | R=-17.25
  Ep 2820 | SR=0% | Steps=15.0 | R=-9.92
  Ep 2830 | SR=0% | Steps=15.0 | R=-21.04
  Ep 2840 | SR=0% | Steps=15.0 | R=-28.19
  Ep 2850 | SR=0% | Steps=15.0 | R=-21.89
  Ep 2860 | SR=0% | Steps=15.0 | R=-7.92
  Ep 2870 | SR=0% | Steps=15.0 | R=-12.13
  Ep 2880 | SR=0% | Steps=15.0 | R=-24.60
  Ep 2890 | SR=0% | Steps=15.0 | R=-16.94
  Ep 2900 | SR=0% | Steps=15.0 | R=-12.95
  Ep 2910 | SR=0% | Steps=15.0 | R=-28.74
  Ep 2920 | SR=0% | Steps=15.0 | R=-13.30
  Ep 2930 | SR=0% | Steps=15.0 | R=-15.85
  Ep 2940 | SR=0% | Steps=15.0 | R=-12.54
  Ep 2950 | SR=0% | Steps=15.0 | R=-23.11
  Ep 2960 | SR=0% | Steps=15.0 | R=-12.54
  Ep 2970 | SR=0% | Steps=15.0 | R=-12.69
  Ep 2980 | SR=0% | Steps=15.0 | R=-19.23
  Ep 2990 | SR=0% | Steps=15.0 | R=-32.95
  Ep 3000 | SR=0% | Steps=15.0 | R=-23.47
  Ep 3010 | SR=0% | Steps=15.0 | R=-16.65
  Ep 3020 | SR=0% | Steps=15.0 | R=-18.13
  Ep 3030 | SR=0% | Steps=15.0 | R=-28.85
  Ep 3040 | SR=0% | Steps=15.0 | R=-11.87
  Ep 3050 | SR=0% | Steps=15.0 | R=-11.67
  Ep 3060 | SR=0% | Steps=15.0 | R=-13.55
  Ep 3070 | SR=0% | Steps=15.0 | R=-5.49
  Ep 3080 | SR=0% | Steps=15.0 | R=-11.82
  Ep 3090 | SR=0% | Steps=15.0 | R=-25.33
  Ep 3100 | SR=0% | Steps=15.0 | R=-10.62
  Ep 3110 | SR=0% | Steps=15.0 | R=-17.35
  Ep 3120 | SR=0% | Steps=15.0 | R=-23.40
  Ep 3130 | SR=0% | Steps=15.0 | R=-9.21
  Ep 3140 | SR=0% | Steps=15.0 | R=-7.26
  Ep 3150 | SR=0% | Steps=15.0 | R=-7.58
  Ep 3160 | SR=0% | Steps=15.0 | R=-23.21
  Ep 3170 | SR=0% | Steps=15.0 | R=-5.56
  Ep 3180 | SR=0% | Steps=15.0 | R=-9.69
  Ep 3190 | SR=0% | Steps=15.0 | R=-14.94
  Ep 3200 | SR=0% | Steps=15.0 | R=-26.85
  Ep 3210 | SR=0% | Steps=15.0 | R=-17.48
  Ep 3220 | SR=0% | Steps=15.0 | R=-21.97
  Ep 3230 | SR=0% | Steps=15.0 | R=-14.94
  Ep 3240 | SR=0% | Steps=15.0 | R=-21.43
  Ep 3250 | SR=0% | Steps=15.0 | R=-28.40
  Ep 3260 | SR=0% | Steps=15.0 | R=-15.91
  Ep 3270 | SR=0% | Steps=15.0 | R=-8.24
  Ep 3280 | SR=0% | Steps=15.0 | R=-20.59
  Ep 3290 | SR=0% | Steps=15.0 | R=-17.48
  Ep 3300 | SR=0% | Steps=15.0 | R=-12.77
  Ep 3310 | SR=0% | Steps=15.0 | R=-10.26
  Ep 3320 | SR=0% | Steps=15.0 | R=-9.30
  Ep 3330 | SR=0% | Steps=15.0 | R=-24.29
  Ep 3340 | SR=0% | Steps=15.0 | R=-18.33
  Ep 3350 | SR=0% | Steps=15.0 | R=-9.53
  Ep 3360 | SR=0% | Steps=15.0 | R=-8.17
  Ep 3370 | SR=0% | Steps=15.0 | R=-13.03
  Ep 3380 | SR=0% | Steps=15.0 | R=-24.04
  Ep 3390 | SR=0% | Steps=15.0 | R=-18.57
  Ep 3400 | SR=0% | Steps=15.0 | R=-19.53
  Ep 3410 | SR=0% | Steps=15.0 | R=-16.80
  Ep 3420 | SR=0% | Steps=15.0 | R=-26.05
  Ep 3430 | SR=0% | Steps=15.0 | R=-12.77
  Ep 3440 | SR=0% | Steps=15.0 | R=-20.28
  Ep 3450 | SR=0% | Steps=15.0 | R=-6.27
  Ep 3460 | SR=0% | Steps=15.0 | R=-12.96
  Ep 3470 | SR=0% | Steps=15.0 | R=-15.26
  Ep 3480 | SR=0% | Steps=15.0 | R=-15.81
  Ep 3490 | SR=0% | Steps=15.0 | R=-20.67
  Ep 3500 | SR=0% | Steps=15.0 | R=-16.88
  Ep 3510 | SR=0% | Steps=15.0 | R=-11.07
  Ep 3520 | SR=0% | Steps=15.0 | R=-20.48
  Ep 3530 | SR=0% | Steps=15.0 | R=-13.07
  Ep 3540 | SR=0% | Steps=15.0 | R=-24.88
  Ep 3550 | SR=0% | Steps=15.0 | R=-15.36
  Ep 3560 | SR=0% | Steps=15.0 | R=-9.83
  Ep 3570 | SR=0% | Steps=15.0 | R=-10.57
